Movie,ProductionBudget,DomesticGross,WorldwideGross
Robin Hood,99000000,30824628,85210012
The LEGO Movie 2: The Second Part,99000000,105806508,190131036
The Peanuts Movie,99000000,130178411,250091610
And Then Came Love,989000,8158,8158
The Mummy Returns,98000000,202007640,435040395
Ford v. Ferrari,97600000,117624357,224449896
Alien: Covenant,97000000,74262031,238521247
Gangs of New York,97000000,77730500,183124621
Jesse,950000,0,0
Trance,950000,0,0
Banshee Chapter,950000,0,78122
AntÃ´nia - O Filme,950000,3550,289789
Charly,950000,814666,814666
Hard Candy,950000,1024640,8267066
Ask Me Anything,950000,0,0
Sex and the City 2,95000000,95347692,294680778
The Road to El Dorado,95000000,50802661,65700000
The Campaign,95000000,86907746,104907746
Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874
Black Hawk Down,95000000,108638745,159691085
Ice Age: Continental Drift,95000000,161321843,879765137
Cinderella,95000000,201151353,534551353
Unstoppable,95000000,81562942,165720921
The Lovely Bones,95000000,44114232,94894448
Ben-Hur,95000000,26410477,91669648
The Fifth Element,95000000,63570862,263898761
Seventh Son,95000000,17725785,108874967
Lara Croft: Tomb Raider,94000000,131144183,273330185
Finding Nemo,94000000,380529370,936094852
Kingsman: The Secret Service,94000000,128261724,404561724
The Lord of the Rings: The Return of the King,94000000,377845905,1120224046
The Lord of the Rings: The Two Towers,94000000,342548984,919148764
L!fe Happens,930000,30905,30905
Rise of the Planet of the Apes,93000000,176760185,470986200
Jurassic Park III,93000000,181166115,365900000
The Spiderwick Chronicles,92500000,71195053,162839667
Cutthroat Island,92000000,10017322,18517322
A Good Day to Die Hard,92000000,67349198,304249198
The Incredibles,92000000,261441092,631441092
The Alamo,92000000,22406362,23911362
Lowriders,916000,6179955,6188421
Food Chains,913000,0,176
On the Waterfront,910000,9600000,9600000
The Secret Life of Walter Mitty,91000000,58236838,187861183
The Giant Mechanical Man,900000,7396,7396
Le bonheur d'Elza,900000,0,0
The Miseducation of Cameron Post,900000,905111,2019874
40 Weeks,900000,0,0
Meet the Blacks,900000,9097072,9097072
Fruitvale Station,900000,16098998,17549645
4 luni 3 saptamani si 2 zile,900000,1196321,11993156
Circumstance,900000,454121,958978
The Quiet,900000,381420,381420
The Brass Teapot,900000,6997,413733
Die Hard: With a Vengeance,90000000,100012499,366101666
Rio,90000000,143619809,487519809
You Don't Mess With the Zohan,90000000,100018837,202910991
Contact,90000000,100920329,165900000
The Girl with the Dragon Tattoo,90000000,102515793,239373970
Tropic Thunder,90000000,110515313,191145256
Mulan,90000000,120620254,303500000
Charlie's Angels,90000000,125305545,259736090
The Departed,90000000,132384315,289660619
Once Upon a Timeâ¦in Hollywood,90000000,142502728,376158396
Bad Boys For Life,90000000,204417855,424288079
Sonic The Hedgehog,90000000,146066470,305039443
What Lies Beneath,90000000,155464351,288693989
Ice Age: Dawn of the Dinosaurs,90000000,196573705,886686817
Sherlock Holmes,90000000,209028679,498438212
Rush Hour 2,90000000,226164286,347425832
Toy Story 2,90000000,245852179,511358276
Men in Black,90000000,250690539,587790539
Jumanji: Welcome to the Jungle,90000000,404508916,961230193
Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956
The Magnificent Seven,90000000,93432655,162136124
Spider-Man: Into The Spider-Verse 3D,90000000,190173195,375040414
Atlantis: The Lost Empire,90000000,84052762,186049020
Tomb Raider,90000000,58250803,273477501
Valkyrie,90000000,83107829,203932174
Army of the Dead,90000000,0,0
Bright,90000000,0,0
The Nutcracker in 3D,90000000,195459,20466016
The Promise,90000000,8224288,10551417
The Three Musketeers,90000000,20377913,139877913
K-19: The Widowmaker,90000000,35168966,65716126
The Devil's Own,90000000,42885593,140900000
Volcano,90000000,47546796,120100000
King Arthur,90000000,51877963,203653524
Bicentennial Man,90000000,58220776,87420776
Conan the Barbarian,90000000,21295021,63356133
Mission to Mars,90000000,60874615,106000000
The Saint,90000000,61363304,169400000
Spy Game,90000000,62362560,143049560
Now You See Me 2,90000000,65075540,328325007
Lara Croft: Tomb Raider: The Cradle of Life,90000000,65653758,157092943
Percy Jackson: Sea of Monsters,90000000,68559554,200859554
The Interpreter,90000000,72708161,162753837
Hollow Man,90000000,73209340,191200000
The Haunted Mansion,90000000,75817994,155750628
Artificial Intelligence: AI,90000000,78616689,235900000
Pixels,90000000,78765986,244041804
Gunless,9900000,458054,458054
Friend Request,9900000,3759078,11310835
Adventureland,9800000,16044025,17553055
Amour,9700000,6738954,36787044
The Lost City,9600000,2484186,5256839
Truth,9600000,2541854,6842580
Re-Kill,9500000,0,0
Gentlemen Broncos,9500000,115155,119955
The Runaways,9500000,3573673,5278632
Dangal,9500000,12391761,305149461
Poltergeist III,9500000,14114000,14114000
You Only Live Twice,9500000,43100000,111600000
Next Friday,9500000,57176582,59675307
Melancholia,9400000,3030848,21817298
Volver,9400000,12899867,87226613
It's a Mad Mad Mad Mad World,9400000,46300000,60000000
Words on Bathroom Walls,9300000,2541947,2544196
Heavy Metal,9300000,19571091,19571091
Jab Tak Hai Jaan,9200000,3047539,5806666
Richard III,9200000,2684904,4199334
Kites,9200000,1685269,17155193
Elle,9100000,2339735,16517708
Red Dog,9100000,0,20927794
Mine Vaganti,9100000,0,18872126
Zarafa,9100000,0,14709816
Velvet Goldmine,9000000,1053788,4313644
Skin Trade,9000000,1242,1242
Veronika Decides to Die,9000000,0,2243
Beneath Hill 60,9000000,0,3440939
Les gamins,9000000,0,15660664
Opal Dream,9000000,14443,14443
Set It Off,9000000,36049108,36049108
Leaves of Grass,9000000,70066,85527
Flammen og Citronen,9000000,148089,1635241
Red Riding: The Year of Our Lord 1974,9000000,148826,148826
La fille du RER,9000000,208163,208163
Dheepan,9000000,248795,7704357
The Strangers,9000000,52597610,83051676
Due occhi diabolici,9000000,349618,349618
The Legend of Suriyothai,9000000,454255,461581
Princess Kaiulani,9000000,883887,883887
All or Nothing,9000000,184255,184255
The Sapphires,9000000,2450867,20395040
Ouija: Origin of Evil,9000000,35144505,81831866
Jackie,9000000,13960394,36588512
Black or White,9000000,21571189,21971021
Loving,9000000,7710234,12898064
Henry V,9000000,10161099,10176701
Glee: The 3D Concert Movie,9000000,11862398,17462398
Breakin' All the Rules,9000000,12232382,12512317
The Ice Pirates,9000000,13075390,13075390
The Edge of Seventeen,9000000,14431633,19096003
The Best Man,9000000,34102780,34572780
Black Christmas,9000000,16235738,16235738
Boiler Room,9000000,16963963,28773637
The Contender,9000000,17804273,17804273
Harold & Kumar Go to White Castle,9000000,18225165,19474552
Down to You,9000000,20035310,20035310
Escape Room,9000000,57000756,155313078
Sicko,9000000,24538513,36535837
Midsommar,9000000,27426363,46843430
The Savages,9000000,6623082,10642023
Chasing Papi,9000000,6126237,12657377
The Sun is Also a Star,9000000,4950029,5680796
Hamlet 2,9000000,4886216,4934104
Igby Goes Down,9000000,4777465,5512151
PCU,9000000,4333569,4333569
The Ultimate Gift,9000000,3438735,3438735
Beautiful,9000000,3134509,3134509
Happy Death Day 2U,9000000,28148130,64686515
Gracie,9000000,2956339,3922043
Greater,9000000,2000093,2000093
Destroyer,9000000,1533324,3703064
Trust the Man,9000000,1530535,2548378
Undiscovered,9000000,1069318,1069318
Child's Play,9000000,33244684,44196684
The Curse of La Llorona,9000000,54733739,121661395
The Way of the Gun,9000000,6047856,13061935
Thunderball,9000000,63600000,141200000
Fiddler on the Roof,9000000,80500000,80500000
Barbarella,9000000,0,0
The Purge: Anarchy,9000000,71562550,111534881
A Haunting in Connecticut 2: The Ghosts of Georgia,9000000,0,0
The Texas Chainsaw Massacre,9000000,80571655,107967319
Newlyweds,9000,4584,4584
Searching,880000,26015149,76090613
Twister,88000000,241688385,495700000
Cinderella Man,88000000,61649911,105021488
The Predator,88000000,51024708,159487563
Fantastic Four,87500000,154696080,333132750
Hannibal,87000000,165092266,350100280
The Last House on the Left,87000,3100000,3100000
Seabiscuit,86000000,120277854,148715342
Bambi,858000,102797000,268000000
Snitch,850000,0,0
For a Good Time Call,850000,1251749,1386088
Latter Days,850000,833118,865708
Windsor Drive,850000,3256,3256
The Hammer,850000,442638,442638
Harrison Montgomery,850000,0,0
Arthur Christmas,85000000,46462469,149717124
Mirror Mirror,85000000,64935167,173613482
The Holiday,85000000,63280000,205190324
The Fast and the Furious: Tokyo Drift,85000000,62615510,157794205
Memoirs of a Geisha,85000000,57010853,161510853
Enemy at the Gates,85000000,51396781,96971293
Last Action Hero,85000000,50016394,137298489
The Rundown,85000000,47641743,80831893
Father's Day,85000000,28681080,35681080
xXx: Return of Xander Cage,85000000,44898413,345033359
Showtime,85000000,37948765,78948765
Meet Joe Black,85000000,44650003,44650003
Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383
Collateral Damage,85000000,40048332,78353508
The Core,85000000,31111260,74120792
Scott Pilgrim vs. The World,85000000,31611316,48056764
Zodiac,85000000,33080084,83080084
Judge Dredd,85000000,34687912,113487912
Tower Heist,85000000,78046570,150422946
102 Dalmatians,85000000,66941559,66941559
Ocean's Thirteen,85000000,117144465,311744465
Open Season,85000000,85105259,191932158
Hotel Transylvania,85000000,148313048,377752514
Cast Away,85000000,233632142,427230516
Happy Feet,85000000,198000317,385000317
Ocean's Eleven,85000000,183417150,450728529
The Bourne Supremacy,85000000,176087450,311001124
Enemy of the State,85000000,111549836,250649836
Fast & Furious,85000000,155064265,363064265
Horton Hears a Who,85000000,154529439,299477886
Divergent,85000000,150947895,276014965
Air Force One,85000000,172956409,315268353
Enchanted,85000000,127706877,340384141
Safe House,85000000,126181630,208542162
I Now Pronounce You Chuck and Larry,85000000,119725280,185708462
Itâs Complicated,85000000,112735375,224614744
Shazam!,85000000,140371656,363664533
Celeste and Jesse Forever,840000,3103407,3787689
The Greatest Showman,84000000,174340174,437179429
RED 2,84000000,53262560,141507355
Nutty Professor II: The Klumps,84000000,123307945,166307945
Scooby-Doo,84000000,153294164,276294164
Sing,84000,0,0
Time Changer,825000,1500711,1500711
London to Brighton,825000,0,610776
Crying With Laughter,820000,0,16909
Jumper,82500000,80172128,222640812
Hellboy II: The Golden Army,82500000,75986503,160388063
Click,82500000,137355633,237685089
Charlotte\'s Web,82500000,82985708,143985708
The Expendables,82000000,103068524,268268174
The 6th Day,82000000,34543701,96024898
Birds of Prey (And the Fantabulous Emancipation…,82000000,84158461,201858461
The Longest Yard,82000000,158119460,191558505
Bruce Almighty,81000000,242704995,484468608
The Mudge Boy,800000,62544,62544
Vessel,800000,0,0
Kill List,800000,29063,462206
Not Cool,800000,35688,35688
The Young Unknowns,800000,58163,58163
DÃ¸d snÃ¸,800000,46742,2194020
Deterrence,800000,144583,371647
Cama adentro,800000,200433,200433
Pandora's Box,800000,881950,881950
Ruby in Paradise,800000,1001437,1001437
Raising Victor Vargas,800000,2073984,2900578
Welcome to the Dollhouse,800000,4198137,5034794
Jodaeiye Nader az Simin,800000,7098492,24426169
Billy Jack,800000,98000000,98000000
Walking with Dinosaurs,80000000,36076121,123368842
Nine,80000000,19676965,56984219
Thirteen Days,80000000,34566746,66554547
Daylight,80000000,32908290,158908290
The Last Witch Hunter,80000000,27367660,130818912
Pompeii,80000000,23169033,108469033
Battlefield Earth: A Saga of the Year 3000,80000000,21471685,29725663
Looney Tunes: Back in Action,80000000,20950820,54540662
Fantasia 2000 (Theatrical Release),80000000,69610858,69618634
Timeline,80000000,19480739,26703184
Oceans,80000000,19422319,86787530
Babe: Pig in the City,80000000,18319860,69131860
The Postman,80000000,17650704,20841123
Red Planet,80000000,17480890,33463969
Arthur et les Minimoys,80000000,15132763,113325743
Mars Attacks!,80000000,37771017,101371017
The Invasion,80000000,15074191,40147042
The Wild,80000000,37384046,99010667
Bewitched,80000000,63313159,131159306
The Brothers Grimm,80000000,37899638,105299638
Evolution,80000000,38311134,98341932
Six Days Seven Nights,80000000,74339294,164800000
Spirit: Stallion of the Cimarron,80000000,73215310,106515310
Swordfish,80000000,69772969,147080413
Zookeeper,80000000,80360866,170805525
Lost In Space,80000000,69117629,136047317
The Manchurian Candidate,80000000,65948711,96135872
DÃ©jÃ Vu,80000000,64038616,181038616
The Aeronauts,80000000,0,3438720
The Time Machine,80000000,56684819,98983590
What Dreams May Come,80000000,55485043,71485043
Mighty Joe Young,80000000,50632037,50632037
Ad Astra,80000000,50188370,135432019
The Legend of Zorro,80000000,45575336,141475336
Little Nicky,80000000,39442871,58270391
Surrogates,80000000,38577772,119668350
A Sound of Thunder,80000000,1900451,6300451
Con Air,80000000,101117573,224117573
The Pink Panther,80000000,82226474,158926474
The Mummy,80000000,155385488,416385488
Get Smart,80000000,130319208,226739416
Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523
Grown Ups 2,80000000,133668525,247023808
Deep Impact,80000000,140464664,349464664
Lilo & Stitch,80000000,145771527,245800000
Over the Hedge,80000000,155019340,343397247
The Secret Life of Pets 2,80000000,158874395,434441844
Smallfoot,80000000,83240103,213682073
Batman Returns,80000000,162833635,266824291
Hotel Transylvania 2,80000000,169700110,469500298
The Lego Batman Movie,80000000,175750384,310570560
Mission: Impossible,80000000,180981886,457697994
The Hangover Part II,80000000,254464305,586464305
The Hunger Games,80000000,408010692,677923379
Robots,80000000,128200012,260636271
Shutter Island,80000000,128012934,299461782
Something's Gotta Give,80000000,124685242,266685242
Four Christmases,80000000,120146040,168311558
Fury,80000000,85817906,210315681
Space Jam,80000000,90463534,250180384
The Haunting,80000000,91188905,180188905
Flubber,80000000,92993801,177993801
The Book of Eli,80000000,94835059,158750817
Cold Mountain,80000000,95632614,165173909
Yogi Bear,80000000,100246011,204774690
The Day the Earth Stood Still,80000000,79366978,237370350
Eagle Eye,80000000,101440743,180585259
Daredevil,80000000,102543518,182782518
Just Go With It,80000000,103028109,214974953
Road to Perdition,80000000,104054514,183354514
Bedtime Stories,80000000,110101975,221468935
Face/Off,80000000,112276146,241200000
Conspiracy Theory,80000000,76118990,142783718
Heist,8900000,50136,3324131
Polisse,8900000,176988,22744132
Ultramarines,8900000,0,0
Crocodile Dundee,8800000,174803506,328203506
The I Inside,8800000,0,0
Dofus - Livre 1: Julith,8800000,0,624747
Marriage Story,8600000,0,320349
Awake,8600000,14373825,32968648
Baggage Claim,8500000,21569509,22885836
Bright Star,8500000,4444637,17220091
Dragon Ball Super: Broly,8500000,30376755,122747755
All is Lost,8500000,6263670,10386814
The Namesake,8500000,13610521,20288774
Election,8500000,14943582,17202854
Haakon Haakonsen,8500000,15024232,15024232
Middle School: The Worst Years of My Life,8500000,20007149,23311293
Club Dread,8500000,5001655,7573551
The Rose,8500000,29200000,29200000
The Rover,8500000,1109199,3180252
All the Presidentâs Men,8500000,51048435,51048435
Manchester by the Sea,8500000,47695371,77733867
Crazy Heart,8500000,39471742,47417251
Star Wars: The Clone Wars,8500000,35161554,68695443
The DUFF,8500000,34030343,43528634
Nightcrawler,8500000,32381218,50334418
Glitter,8500000,4273372,4273372
The Lost Boys,8500000,32222567,32396366
Silmido,8500000,298347,30298347
Repo! The Genetic Opera,8500000,140244,198883
Posledniy bogatyr,8500000,0,30700192
A.C.O.R.N.S.: Operation Crackdown,8500000,0,1353287
My Name is Khan,8470000,4046336,42355526
Namastey London,8400000,1207007,6831069
Yeh Jawaani Hai Deewani,8300000,3827466,50827466
Limbo,8300000,2160710,2598224
The Wind That Shakes the Barley,8300000,1829142,25670174
The City of Your Final Destination,8300000,493296,1353296
Kurtlar vadisi - Irak,8300000,0,24906717
Quo Vadis?,8250000,30000000,30028983
Footloose,8200000,80000000,80007954
The Sound of Music,8200000,163214286,286214195
Neuilly Sa MÃ¨re,8200000,0,19637575
El Chicano,8000000,700261,700261
Cut Throat City,8000000,855894,864797
And When Did You Last See Your Father?,8000000,1071240,2476491
Made in Dagenham,8000000,1095369,15644196
The Secret of Kells,8000000,690290,3582797
Lean on Pete,8000000,1163056,2455027
Seberg,8000000,448009,852102
Mr. Church,8000000,685780,685780
The Singing Detective,8000000,336456,524747
Brooklyn Rules,8000000,458232,458232
Down in the Valley,8000000,568932,973443
The Wicked Lady,8000000,589308,589308
Prefontaine,8000000,590817,590817
Clay Pigeons,8000000,1793359,2256606
Fireflies in the Garden,8000000,36884,3587191
Burn Your Maps,8000000,0,0
Ma vie de Courgette,8000000,309768,10245743
Welcome to Dongmakgol,8000000,0,48000000
Feichang Xingyun,8000000,0,21970000
Don Gato el inicio de la pandilla,8000000,0,4604656
The Death and Life of Bobby Z,8000000,0,414617
Backstabbing For Beginners,8000000,0,343773
The Report,8000000,0,242788
Swelter,8000000,0,44197
Maurice Richard,8000000,0,0
Teen Beach Movie,8000000,0,0
Green Street Hooligans: Underground,8000000,0,0
Christmas in Beverly Hills,8000000,0,0
Code of Honor,8000000,0,0
Dear Wendy,8000000,23106,446438
Akira,8000000,19585,1736545
Aloft,8000000,53086,531139
10th & Wolf,8000000,54702,143782
A Street Cat Named Bob,8000000,82703,17382693
Wuthering Heights,8000000,100915,2721534
Pathology,8000000,109045,3270974
Wild Target,8000000,109338,5314194
The Wendell Baker Story,8000000,127188,127188
The Land Girls,8000000,146083,146083
Restless,8000000,163753,2772511
London Fields,8000000,252676,433732
Fido,8000000,298110,456814
Le passÃ©,8000000,1335672,15752575
Drive Me Crazy,8000000,17843379,22591451
Showdown in Little Tokyo,8000000,2275557,2275557
50/50,8000000,35016118,41334735
The Player,8000000,21706101,28876702
Much Ado About Nothing,8000000,22549338,22549338
On Her Majesty's Secret Service,8000000,22800000,82000000
Modern Problems,8000000,24474312,24474312
Shutter,8000000,25928550,47782426
That Awkward Moment,8000000,26068955,53068955
Howards End,8000000,26124872,26342441
Brown Sugar,8000000,27362712,28315272
A Walk in the Woods,8000000,29499394,37119358
A Thin Line Between Love & Hate,8000000,34873513,34873513
8 femmes,8000000,3076425,42376425
Akeelah and the Bee,8000000,18848430,18959424
You Got Served,8000000,40066497,50811858
Escape from Alcatraz,8000000,43000000,43000000
28 Days Laterâ¦,8000000,45064915,82955633
Stand by Me,8000000,52287414,52287766
Easy A,8000000,58401464,76200721
Little Miss Sunshine,8000000,59891098,100642353
Splash,8000000,62599495,62599495
The Muppet Movie,8000000,76657000,76657000
The Karate Kid,8000000,90815558,90857623
Pulp Fiction,8000000,107928762,212894846
Creepshow,8000000,20036244,20036244
The Intruder,8000000,35388976,40597401
Wes Craven's New Nightmare,8000000,18090181,18090181
American Psycho,8000000,15070285,34270285
New in Town,8000000,16734283,29937909
See No Evil,8000000,15032800,18828036
The Good Girl,8000000,14018296,16585503
Bon Cop Bad Cop,8000000,12671300,12740705
The Boondock Saints 2: All Saints Day,8000000,10273187,10629320
Prom,8000000,10130219,10763183
The Inkwell,8000000,8864699,8864699
Shadow of the Vampire,8000000,8279017,8279017
Me and Earl and the Dying Girl,8000000,6758416,9266180
It's Kind of a Funny Story,8000000,6363628,6632950
Under Fire,8000000,5696391,5696391
The Pallbearer,8000000,5656388,5656388
Woman on Top,8000000,5018450,10192613
Held Up,8000000,4714090,4714090
Morgan,8000000,3915251,7298786
Anomalisa,8000000,3759286,5706168
CachÃ©,8000000,3647381,19891331
Another Year,8000000,3205706,20005613
Enough Said,8000000,17550872,25621449
Half Baked,8000000,17394881,17394881
Begin Again,8000000,16170632,67984118
The Lion King,79300000,421785283,986214868
Journey 2: The Mysterious Island,79000000,103860290,318146162
Jack and Jill,79000000,74158157,150519217
The Foot Fist Way,79000,234286,234286
Saints and Soldiers,780000,1310470,1310470
Red Dragon,78000000,92955420,206455420
Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649
A Beautiful Mind,78000000,170708996,317668058
Hidalgo,78000000,67286731,108086731
The League of Extraordinary Gentlemen,78000000,66465204,179265204
Exorcist: The Beginning,78000000,41814863,43957541
American Graffiti,777000,115000000,140000000
Iraq for Sale: The War Profiteers,775000,0,0
AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,77600000,0,60680125
Renegades,77500000,0,1521672
The Little Prince,77500000,1311213,102028919
The Equalizer 2,77000000,102084362,190376181
Children of Men,76000000,35552383,69845011
The Adventures of Rocky & Bullwinkle,76000000,26000610,35129610
Despicable Me 2,76000000,368065385,975216835
2 Fast 2 Furious,76000000,127120058,236410607
Adulterers,750000,0,0
The Innkeepers,750000,78396,1011535
Bled,750000,0,0
Aqua Teen Hunger Force Colon Movie Film for The…,750000,5520368,5520368
Safety Not Guaranteed,750000,4010957,4422318
Best of Enemies,750000,892802,940936
Kevin Hart: Laugh at My Pain,750000,7706436,7712436
Il conformista,750000,59656,89609
Interview with the Assassin,750000,47329,47329
Undead,750000,41196,229250
Donkey Punch,750000,19367,814801
All the Boys Love Mandy Lane,750000,0,1960521
Destiny,750000,0,450
Vertical Limit,75000000,68473360,213500000
Charlie Wilsonâs War,75000000,66661095,119512771
Life,75000000,64062587,73521587
Abominable,75000000,60716390,187886443
Be Cool,75000000,55849401,94944017
Munich,75000000,47379090,131492772
Killers,75000000,47059963,95572749
The Man From U.N.C.L.E.,75000000,45445109,108517735
Tears of the Sun,75000000,43632458,85632458
Lady in the Water,75000000,42285169,72785169
Inferno,75000000,34343574,219519367
Spanglish,75000000,42044321,54344321
Bandits,75000000,41523271,71523271
Anna and the King,75000000,39251128,39251128
First Knight,75000000,37361412,127361412
Sucker Punch,75000000,36392502,89758389
Hostage,75000000,34636443,77636443
Hollywood Homicide,75000000,30207785,50409753
Titan A.E.,75000000,22751979,36751979
Flight of the Phoenix,75000000,21009180,34009180
Constantine,75000000,75976178,221593554
Monkeybone,75000000,5409517,5409517
X-Men,75000000,157299717,296872367
The Terminal,75000000,77073959,218673959
Immortals,75000000,83504017,211562435
The Secret Life of Pets,75000000,368384330,885302500
Independence Day,75000000,306169255,817400878
Dr. Seussâ The Grinch,75000000,270620950,511669509
Sing,75000000,270329045,632483611
Despicable Me 3,75000000,264624300,1032596894
The Lost World: Jurassic Park,75000000,229086679,618638999
Ice Age: The Meltdown,75000000,195330621,651899282
Madagascar,75000000,193595521,556559566
Grown Ups,75000000,162001186,272223000
Shark Tale,75000000,161412000,371741123
Wanted,75000000,134508551,342416460
The Rock,75000000,134069511,336069511
50 First Dates,75000000,120776832,196320329
Mamma Mia: Here We Go Again!,75000000,120634935,392879661
Hairspray,75000000,118871849,202822861
Now You See Me,75000000,117723989,342769200
Dreamgirls,75000000,103365956,155708695
Christopher Robin,75000000,99215042,197504758
Inspector Gadget,75000000,97387965,97387965
Monster House,75000000,73661010,141267370
Soldier,75000000,14623082,14623082
PLAYMOBIL,75000000,1115008,16286699
The 355,75000000,0,0
Virus,75000000,14010690,30626690
Queen Crab,75000,0,0
Dawn of the Crescent Moon,75000,8799,8799
La mariÃ©e Ã©tait en noir,747000,44566,44566
Minions,74000000,336045770,1159631140
The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311013181
High Noon,730000,8000000,8000000
Unbreakable,73243106,94999143,248099143
Talladega Nights: The Ballad of Ricky Bobby,73000000,148213377,162870525
The Angry Birds Movie,73000000,107509366,352327887
Snake Eyes,73000000,55591409,103891409
Sphere,73000000,37068294,50168294
The Simpsons Movie,72500000,183135014,527071022
Fool's Gold,72500000,70231041,109362966
Funny People,72500000,51855045,71880305
The Kingdom,72500000,47467250,86802457
Two Brothers,72000000,19176754,62176754
The Majestic,72000000,27796042,37306334
Driven,72000000,32616869,54616869
Jarhead,72000000,62647540,96947540
Braveheart,72000000,75545647,209045244
Dr. Dolittle 2,72000000,112950721,176101721
The Village,71682975,114197520,257641634
Doctor Dolittle,71500000,144156605,294156605
Hoop Dreams,700000,7768371,11768371
Rize,700000,3278611,4857731
L.I.E.,700000,1140965,1140965
Columbus,700000,1017107,1110511
Naturally Native,700000,10508,10508
B-Girl,700000,0,1160
Walter,700000,0,0
Half Nelson,700000,2697938,4911725
Signs,70702619,227969295,408250578
Doom,70000000,28212337,58757178
Killer Elite,70000000,25124986,65409046
Escape Plan,70000000,25135965,103735965
The Finest Hours,70000000,27569558,49252761
Stardust,70000000,38634938,137022245
Bad Company,70000000,30157016,69157016
I Spy,70000000,33561137,60279822
Hard Rain,70000000,19870567,19870567
Sky Captain and the World of Tomorrow,70000000,37760080,49730854
Seven Years in Tibet,70000000,37945884,131445884
The Brave One,70000000,36793804,69792704
Next,70000000,18211013,73591500
Rollerball,70000000,18990542,25852508
The Legend of Hercules,70000000,18848538,58953319
Ballistic: Ecks vs. Sever,70000000,14294842,14294842
Osmosis Jones,70000000,13596911,13596911
Legends of Oz: Dorothyâs Return,70000000,8462347,20107933
Blackhat,70000000,8005980,19665004
Basic Instinct 2,70000000,5946136,35417162
Agora,70000000,619423,38992292
b,70000000,0,0
Rock of Ages,70000000,38518613,61031932
Hart's War,70000000,19076815,33076815
The Siege,70000000,40934175,116625798
Hercules,70000000,99112101,250700000
Daddyâs Home 2,70000000,104029443,175807183
S.W.A.T.,70000000,116877597,207154748
Die Hard 2,70000000,117323878,239814025
Hook,70000000,119654823,300854823
Inglourious Basterds,70000000,120774594,316915264
Ransom,70000000,136492681,308700000
Oceanâs 8,70000000,140218711,297718711
xXx,70000000,141930000,267200000
Runaway Bride,70000000,152257509,310138178
Who Framed Roger Rabbit?,70000000,154112492,351500000
It: Chapter Two,70000000,211593228,469566806
Alvin and the Chipmunks: The Squeakquel,70000000,219614612,443483213
Cars,70000000,244082982,461630558
Shrek 2,70000000,441226247,935253978
Rumor Has It,70000000,42996140,88933562
Vanilla Sky,70000000,100614858,202726605
Sleepy Hollow,70000000,101068340,207068340
Olympus Has Fallen,70000000,98927592,172878928
Star Trek: Insurrection,70000000,70187658,117800000
Wall Street 2: Money Never Sleeps,70000000,52474616,137431619
The Abyss,70000000,54243125,54243125
The Guardian,70000000,55011732,94973540
Dracula Untold,70000000,55991880,220241723
The Lego Ninjago Movie,70000000,59281555,122737201
Underworld: Awakening,70000000,62321039,160379930
Wolf,70000000,65011757,131011757
Battle: Los Angeles,70000000,83552429,213463976
Big Fish,70000000,66432867,123954323
Storks,70000000,72679278,183353431
The Monuments Men,70000000,78031620,158702748
We Were Soldiers,70000000,78120196,114658262
War Horse,70000000,79883359,156815529
AVP: Alien Vs. Predator,70000000,80281096,172543519
The Dilemma,70000000,48475290,70546865
Absentia,70000,0,8555
Peace Propaganda and the Promised Land,70000,4930,4930
Happy Christmas,70000,30312,30312
Imagine Me & You,7900000,672243,3129471
Swimming Pool,7800000,10130108,24021282
Dvizhenie Vverkh,7800000,0,61925449
Loulou lâincroyable secret,7793000,0,12196
Loin des hommes,7700000,5336,1080428
The Blood of Heroes,7700000,882290,882290
The Work and the Glory,7500000,3347647,3347647
Pound of Flesh,7500000,0,0
Kirikou Et Les Hommes Et Les Femmes,7500000,0,17
Outside Bet,7500000,0,13524
The Hole,7500000,0,10834406
Black November,7500000,5782,38354
Driving Miss Daisy,7500000,106593296,106593296
Betty Fisher et autres histoires,7500000,206400,206400
Borg vs McEnroe,7500000,231346,8824873
Masked and Anonymous,7500000,533344,555335
The Neon Demon,7500000,1333124,3559803
Albert Nobbs,7500000,3014696,8539003
Code 46,7500000,197148,1788324
Witless Protection,7500000,4151836,4151836
Thank You For Smoking,7500000,24793509,40016662
Men with Brooms,7500000,4239767,4239767
Soul Food,7500000,43492389,43492389
(500) Days of Summer,7500000,32425665,34308515
Rumble in the Bronx,7500000,32281907,36238752
Extract,7500000,10823158,10849158
Hostel: Part II,7500000,17544812,33606409
The Hotel New Hampshire,7500000,5142858,5142858
Narc,7500000,10465659,11843260
Shopgirl,7500000,10284523,11758418
An Education,7500000,12574914,29652736
Ta Ra Rum Pum,7400000,872643,9443864
The Bye Bye Man,7400000,22395806,31187727
Crash,7303082,55334418,101173038
Persepolis,7300000,4443403,25397187
Harry Brown,7300000,1818681,12023606
Die Welle,7250000,0,35122948
Diamonds Are Forever,7200000,43800000,115999985
The Omega Code,7200000,12610552,12678312
